,Artist,URL
123,[Andra Day],[https://genius.com/AndraDay]
124,[Celo & Abdi],[https://genius.com/celoundabdi]
125,[Waka Flocka Flame],[https://genius.com/WakaFlockaFlame]
126,[Scarface],[https://genius.com/Scarface]
127,[Zedd],[https://genius.com/OfficialZedd]
128,[Rashid],[https://genius.com/RashidOficial]
129,[Empire Cast],[https://genius.com/EmpireCast]
130,[Young Thug],[https://genius.com/Young_Thug]
131,[Bebe Rexha],[https://genius.com/BebeRexha]
132,[Rittz],[https://genius.com/Rittz]
133,[Emicida],[https://genius.com/Emicida]
134,[Ace Hood],[https://genius.com/acehood]
135,[Mickey Factz],[https://genius.com/MickeyFactz]
136,[Rakim],[https://genius.com/Rakim777]
137,[Wax],[https://genius.com/bigwax]
138,[Meghan Trainor],[https://genius.com/MeghanTrainor]
139,[Sean Paul],[https://genius.com/SeanPaulMusic]
140,[Christine and the Queens],[https://genius.com/Queenschristine]
141,[Ill Bill],[https://genius.com/ILLBILL]
142,[The xx],[https://genius.com/The_xx]
143,[Megaloh],[https://genius.com/MegalohOfficial]
144,[Sylvan Esso],[https://genius.com/AmeliaMeath]
145,[Sido],[https://genius.com/Sido]
146,[BØRNS],[https://genius.com/BORNS]
147,[Adam Mansbach],[https://genius.com/AdamMansbach]
148,[Soulja Boy],[https://genius.com/Souljaboy]
149,[Dave Matthews Band],[https://genius.com/DaveMatthewsBand]
150,[Wet],[https://genius.com/Wet]
151,[Big Boi],[https://genius.com/BIgBoi]
152,[Ne-Yo],[https://genius.com/Neyo]
153,[Ghostface Killah],[https://genius.com/GhostfaceKillah718]
154,[Kitty],[https://genius.com/kittypryde]
155,[Asher Roth],[https://genius.com/asherroth]
156,[Blake Shelton],[https://genius.com/BlakeShelton]
157,[JoJo],[https://genius.com/iamjojo]
158,[Pharoahe Monch],[https://genius.com/PharoaheMonch]
159,[Everything Everything],[https://genius.com/rictus_grin]
160,[KXNG CROOKED],[https://genius.com/KxngCrooked]
161,[Ed Sheeran],[https://genius.com/EdSheeranMusic]
162,[Jenny Hval],[https://genius.com/JennyHval]
163,[Maren Morris],[https://genius.com/MarenMorris]
164,[Carnage],[https://genius.com/DjCarnage]
165,[A$AP MOB],[https://genius.com/ASAPMOB]
166,[Marilyn Manson],[https://genius.com/MarilynManson]
167,[Angel Haze],[https://genius.com/Angelhaze]
168,[Kilo Kish],[https://genius.com/kilokish]
169,[KRS-ONE],[https://genius.com/KRS-ONE]
170,[Robin Thicke],[https://genius.com/RobinThicke]
171,[RZA],[https://genius.com/RZA]
172,[Fetty Wap],[https://genius.com/Fettywap]
173,[Jason Derulo],[https://genius.com/JasonDerulo]
174,[Jean Grae],[https://genius.com/JeanGrae]
175,[Kali Uchis],[https://genius.com/kaliuchis]
176,[Ras Kass],[https://genius.com/RasKass]
177,[Seal],[https://genius.com/Seal]
178,[Sampha],[https://genius.com/Sampha]
